0	，
1	|
2	技师说
3	车主说
4	。
5	？
6	问题
7	不
8	没有
9	好
10	都
11	需要
12	一下
13	！
14	语音
15	检查
16	发动机
17	换
18	更换
19	会
20	图片
21	车
22	正常
23	情况
24	没
25	故障
26	机油
27	说
28	去
29	谢谢
30	看
31	电脑
32	这种
33	现在
34	建议
35	不会
36	传感器
37	可能
38	声音
39	变速箱
40	应该
41	后
42	清洗
43	下
44	有没有
45	出现
46	检查一下
47	上
48	是否
49	是不是
50	节气门
51	启动
52	影响
53	?
54	故障码
55	不是
56	大
57	车子
58	还
59	看看
60	跑
61	公里
62	左右
63	很
64	油
65	做
66	车辆
67	火花塞
68	师傅
69	请问
70	再
71	位置
72	开
73	原因
74	时
75	年
76	维修
77	保养
78	比较
79	感觉
80	行驶
81	知道
82	线路
83	才
84	里面
85	导致
86	先
87	轮胎
88	款
89	4s店
90	不好
91	开关
92	压力
93	怠速
94	拆
95	坏
96	电瓶
97	刹车
98	空调
99	修理厂
100	使用
101	不能
102	点火
103	新
104	大师
105	造成
106	汽油
107	抖动
108	钥匙
109	系统
110	地方
111	检测
112	钱
113	灯
114	进行
115	两个
116	显示
117	不行
118	万公里
119	熄火
120	加
121	以后
122	高
123	大概
124	插头
125	不客气
126	直接
127	出来
128	上面
129	工作
130	解决
131	买
132	档
133	控制
134	匹配
135	这是
136	找
137	打开
138	线
139	喷油嘴
140	缸
141	2
142	一点
143	现象
144	1
145	想
146	试试
147	关系
148	处理
149	汽车
150	.
151	加油
152	肯定
153	水温
154	起来
155	离合器
156	主要
157	之前
158	转
159	踩
160	一次
161	不用
162	异响
163	有点
164	挂
165	皮带
166	方向盘
167	仪表
168	具体
169	螺丝
170	损坏
171	气门
172	响
173	时间
174	自动
175	之后
176	怎么回事
177	3
178	不了
179	问
180	、
181	东西
182	油耗
183	亮
184	没事
185	最好
186	模块
187	价格
188	积碳
189	原厂
190	4
191	只能
192	4S店
193	转速
194	油门
195	安装
196	200
197	重新
198	确定
199	方向
200	空气
201	数据
202	今天
203	点
204	防冻液
205	0
206	小
207	描述
208	进气
209	信号
210	咨询
211	高速
212	保险
213	已经
214	拆下来
215	水箱
216	发现
217	后面
218	线圈
219	底盘
220	动力
221	以前
222	修
223	中
224	下面
225	新车
226	5
227	出
228	门
229	店
230	解答
231	冷车
232	前
233	凸轮轴
234	测量
235	刹车片
236	定位
237	不要
238	磨损
239	油泵
240	温度
241	泵
242	电机
243	滤芯
244	轴承
245	继电器
246	明显
247	保险丝
248	外面
249	电磁阀
250	这款
251	正
252	意思
253	明天
254	三元催化
255	曲轴
256	读取
257	氧
258	不到
259	100
260	助力
261	风扇
262	燃油
263	正时
264	电压
265	内部
266	容易
267	大灯
268	车身
269	严重
270	质量
271	漏气
272	10
273	走
274	关注
275	好像
276	导航
277	4s
278	烧
279	间隙
280	配件
